cep,aps
22260188,17001150
22260157,17001150
22260189,17001150
22011100,17001160
22290970,17001150
22260137,17001150
22290903,17001150
22290140,17001150
22260192,17001150
22071070,17001210
22031120,17001160
22061050,17001210
22061011,17001210
22071080,17001210
22250150,17001150
22290070,17001150
22030050,17001160
22260191,17001150
22061070,17001210
22290090,17001150
22260148,17001150
22061010,17001210
22260168,17001150
22260135,17001150
22290240,17001150
22061080,17001210
22290210,17001150
22050020,17001160
22260124,17001150
22260130,17001150
22281132,17001150
22260184,17001150
22250000,17001150
22260181,17001150
22260180,17001150
22231030,17001150
22250200,17001150
22260139,17001150
22231050,17001150
22290050,17001150
22290150,17001150
22250170,17001150
22260149,17001150
22260134,17001150
22281131,17001150
22260183,17001150
22290130,17001150
22290060,17001150
22250904,17001150
22250901,17001150
22250010,17001150
22250909,17001150
22250970,17001150
22250908,17001150
22260100,17001150
22250906,17001150
22260206,17001150
22250040,17001150
22260070,17001150
22260195,17001150
22260122,17001150
22250910,17001160
22250905,17001150
22260187,17001150
22250145,17001160
22260138,17001150
22251050,17001150
22290230,17001150
22260105,17001150
22250907,17001150
22270080,17001150
22281010,17001150
22250900,17001150
22280110,17001150
22280070,17001150
22260155,17001150
22231000,17001150
22260020,17001150
22270020,17001150
22260169,17001150
22260050,17001150
22260167,17001150
22271020,17001150
22260120,17001150
22290190,17001150
22250160,17001150
22280080,17001150
22281110,17001150
22260154,17001150
22251030,17001150
22260166,17001150
22230090,17001150
22260193,17001150
22260205,17001150
22250911,17001160
22271000,17001150
22260199,17001150
22280030,17001150
22281150,17001150
22270070,17001150
22290904,17001150
22260196,17001150
22260146,17001150
22290000,17001150
22260172,17001150
22290031,17001150
22260136,17001150
22260164,17001150
22260010,17001150
22260186,17001150
22260179,17001150
22260153,17001150
22260201,17001150
22280020,17001150
22260145,17001150
22290030,17001150
22260090,17001150
22260125,17001150
22260162,17001150
22260156,17001150
22260182,17001150
22260142,17001150
22281100,17001150
22290973,17001170
22231020,17001150
22231060,17001150
22260131,17001150
22260176,17001150
22281020,17001150
22290080,17001150
22281060,17001150
22280005,17001150
22290040,17001150
22290901,17001150
22280002,17001150
22231040,17001150
22290905,17001150
22280060,17001150
22270060,17001150
22281040,17001150
22281090,17001150
22280970,17001150
22260197,17001150
22280004,17001150
22260190,17001150
22280003,17001150
22281050,17001150
22281140,17001150
22260005,17001210
22290972,17001150
22260143,17001150
22251010,17001150
22260128,17001150
22260194,17001150
22271010,17001150
22260129,17001150
22271100,17001150
22251000,17001150
22290906,17001150
22260040,17001150
22280090,17001150
22251020,17001150
22290170,17001150
22231010,17001150
22260203,17001150
22251060,17001150
22260150,17001150
22260126,17001150
22281000,17001150
22250210,17001150
22260127,17001150
22260140,17001150
22290175,17001150
22251040,17001150
22260132,17001150
22251090,17001150
22290160,17001150
22260177,17001150
22280010,17001150
22281900,17001150
22281035,17001150
22251080,17001150
22260185,17001150
22281070,17001150
22270050,17001150
22260147,17001150
22281036,17001150
22280040,17001150
22281034,17001150
22280100,17001150
22281080,17001150
22281033,17001150
22260123,17001150
22270971,17001150
22260000,17001150
22260001,17001150
22281032,17001150
22270902,17001150
22260110,17001150
22260900,17001150
22260030,17001150
22260007,17001150
22280050,17001150
22260133,17001150
22260009,17001150
22260002,17001150
22260970,17001150
22260170,17001150
22271091,17001150
22281120,17001150
22260003,17001150
22270010,17001150
22270012,17001150
22251070,17001150
22260006,17001150
22270003,17001150
22270001,17001150
22271110,17001150
22290010,17001150
22271092,17001150
22270000,17001150
22250180,17001150
22260178,17001150
22270014,17001150
22260004,17001150
22271022,17001150
22271021,17001150
22270030,17001150
22260080,17001150
22270005,17001150
22250190,17001150
22270016,17001150
22260158,17001150
22270040,17001150
22270903,17001150
22270901,17001150
22250140,17001150
22270900,17001150
22280120,17001150
22270970,17001150
22290020,17001150
22280130,17001150
22260174,17001150
