elemLat,elemLong,centerLat,centerLong,label,dist
-22.9807567,-43.1911138,-22.9784463,-43.1918982,3,0.269
-22.9781081,-43.1896959,-22.9784463,-43.1918982,3,0.229
-22.9668457,-43.1928756,-22.9657331,-43.1835126,1,0.967
-22.9621646,-43.1758622,-22.9657331,-43.1835126,1,0.878
-22.9633947,-43.1752502,-22.9657331,-43.1835126,1,0.885
-22.9645233,-43.1803462,-22.9657331,-43.1835126,1,0.351
-22.9798824,-43.1910059,-22.9784463,-43.1918982,3,0.184
-22.9621959,-43.1783486,-22.9657331,-43.1835126,1,0.659
-22.9677087,-43.1892128,-22.9657331,-43.1835126,1,0.624
-22.9645233,-43.1803462,-22.9657331,-43.1835126,1,0.351
-22.9614409,-43.1735053,-22.9657331,-43.1835126,1,1.131
-22.9621959,-43.1783486,-22.9657331,-43.1835126,1,0.659
-22.9614409,-43.1735053,-22.9657331,-43.1835126,1,1.131
-22.9639633,-43.1912473,-22.9657331,-43.1835126,1,0.816
-22.9851232,-43.1952964,-22.9784463,-43.1918982,3,0.820
-22.9865556,-43.1883242,-22.9784463,-43.1918982,3,0.973
-22.9629495,-43.1747915,-22.9657331,-43.1835126,1,0.945
-22.9769047,-43.1938344,-22.9784463,-43.1918982,3,0.262
-22.9660917,-43.1880338,-22.9657331,-43.1835126,1,0.465
-22.9697135,-43.1840850,-22.9657331,-43.1835126,1,0.447
-22.9756546,-43.1923033,-22.9784463,-43.1918982,3,0.313
-22.9689026,-43.1850073,-22.9657331,-43.1835126,1,0.384
-22.9748916,-43.1872913,-22.9784463,-43.1918982,3,0.616
-22.9720614,-43.1900124,-22.9784463,-43.1918982,3,0.736
-22.9686243,-43.1857895,-22.9657331,-43.1835126,1,0.397
-22.9747594,-43.1977170,-22.9784463,-43.1918982,3,0.723
-22.9652183,-43.1833188,-22.9657331,-43.1835126,1,0.061
-22.9640719,-43.1787853,-22.9657331,-43.1835126,1,0.518
-22.9682999,-43.1852364,-22.9657331,-43.1835126,1,0.336
-22.9745731,-43.1905153,-22.9784463,-43.1918982,3,0.453
-22.9728835,-43.1908261,-22.9784463,-43.1918982,3,0.628
-22.9720434,-43.1898495,-22.9784463,-43.1918982,3,0.742
-22.9642593,-43.1804746,-22.9657331,-43.1835126,1,0.352
-22.9756546,-43.1923033,-22.9784463,-43.1918982,3,0.313
-22.9714027,-43.1893664,-22.9784463,-43.1918982,3,0.825
-22.9754420,-43.1876342,-22.9784463,-43.1918982,3,0.550
-22.9663240,-43.1901327,-22.9657331,-43.1835126,1,0.681
-22.9720515,-43.1900074,-22.9784463,-43.1918982,3,0.737
-22.9638123,-43.1762277,-22.9657331,-43.1835126,1,0.776
-22.9677087,-43.1892128,-22.9657331,-43.1835126,1,0.624
-22.9629505,-43.1831914,-22.9657331,-43.1835126,1,0.311
-22.9657015,-43.1791444,-22.9657331,-43.1835126,1,0.447
-22.9614409,-43.1735053,-22.9657331,-43.1835126,1,1.131
-22.9720434,-43.1898495,-22.9784463,-43.1918982,3,0.742
-22.9715362,-43.1906752,-22.9784463,-43.1918982,3,0.779
-22.9844176,-43.1926201,-22.9784463,-43.1918982,3,0.668
-22.9846964,-43.1935143,-22.9784463,-43.1918982,3,0.715
-22.9640719,-43.1787853,-22.9657331,-43.1835126,1,0.518
-22.9846964,-43.1935143,-22.9784463,-43.1918982,3,0.715
-22.9825018,-43.1973280,-22.9784463,-43.1918982,3,0.716
-22.9601065,-43.1767217,-22.9657331,-43.1835126,1,0.936
-22.9647490,-43.1783703,-22.9657331,-43.1835126,1,0.538
-22.9870886,-43.1916513,-22.9784463,-43.1918982,3,0.962
-22.9634292,-43.1943468,-22.9657331,-43.1835126,1,1.139
-22.9699568,-43.1839369,-22.9657331,-43.1835126,1,0.472
-22.9654000,-43.1808020,-22.9657331,-43.1835126,1,0.280
-22.9786161,-43.1914770,-22.9784463,-43.1918982,3,0.047
-22.9620161,-43.1771158,-22.9657331,-43.1835126,1,0.775
-22.9738362,-43.1943975,-22.9784463,-43.1918982,3,0.573
-22.9690469,-43.1869922,-22.9657331,-43.1835126,1,0.513
-22.9659386,-43.1805236,-22.9657331,-43.1835126,1,0.307
-22.9715111,-43.1859386,-22.9657331,-43.1835126,1,0.689
-22.9670991,-43.1805367,-22.9657331,-43.1835126,1,0.341
-22.9870065,-43.1911948,-22.9784463,-43.1918982,3,0.955
-22.9717493,-43.1846794,-22.9657331,-43.1835126,1,0.680
-22.9611029,-43.1785563,-22.9657331,-43.1835126,1,0.723
-22.9831907,-43.1919385,-22.9784463,-43.1918982,3,0.528
-22.9690469,-43.1869922,-22.9657331,-43.1835126,1,0.513
-22.9720434,-43.1898495,-22.9784463,-43.1918982,3,0.742
-22.9672016,-43.1835627,-22.9657331,-43.1835126,1,0.163
-22.9777221,-43.1915861,-22.9784463,-43.1918982,3,0.087
-22.9638748,-43.1816745,-22.9657331,-43.1835126,1,0.280
-22.9677257,-43.1843804,-22.9657331,-43.1835126,1,0.239
-22.9766015,-43.1913996,-22.9784463,-43.1918982,3,0.211
-22.9774568,-43.1963274,-22.9784463,-43.1918982,3,0.467
-22.9674846,-43.1878901,-22.9657331,-43.1835126,1,0.489
-22.9634394,-43.1803211,-22.9657331,-43.1835126,1,0.415
-22.9689026,-43.1850073,-22.9657331,-43.1835126,1,0.384
-22.9640262,-43.1921423,-22.9657331,-43.1835126,1,0.904
-22.9862199,-43.1922938,-22.9784463,-43.1918982,3,0.866
-22.9663240,-43.1901327,-22.9657331,-43.1835126,1,0.681
-22.9835329,-43.1950209,-22.9784463,-43.1918982,3,0.650
-22.9662385,-43.1893646,-22.9657331,-43.1835126,1,0.602
-22.9667595,-43.1907029,-22.9657331,-43.1835126,1,0.745
-22.9771003,-43.1955537,-22.9784463,-43.1918982,3,0.403
-22.9679571,-43.1904035,-22.9657331,-43.1835126,1,0.748
-22.9737533,-43.1926185,-22.9784463,-43.1918982,3,0.527
-22.9662785,-43.1814229,-22.9657331,-43.1835126,1,0.222
-22.9689026,-43.1850073,-22.9657331,-43.1835126,1,0.384
-22.9683015,-43.1839514,-22.9657331,-43.1835126,1,0.289
-22.9844176,-43.1926201,-22.9784463,-43.1918982,3,0.668
-22.9759489,-43.1912646,-22.9784463,-43.1918982,3,0.285
-22.9747594,-43.1977170,-22.9784463,-43.1918982,3,0.723
-22.9777221,-43.1915861,-22.9784463,-43.1918982,3,0.087
-22.9647721,-43.1827480,-22.9657331,-43.1835126,1,0.133
-22.9637463,-43.1814878,-22.9657331,-43.1835126,1,0.303
-22.9670297,-43.1860265,-22.9657331,-43.1835126,1,0.295
-22.9666858,-43.1889948,-22.9657331,-43.1835126,1,0.571
-22.9712899,-43.1892675,-22.9784463,-43.1918982,3,0.840
-22.9642485,-43.1772519,-22.9657331,-43.1835126,1,0.662
-22.9700047,-43.1839018,-22.9657331,-43.1835126,1,0.477
-22.9820342,-43.1922794,-22.9784463,-43.1918982,3,0.401
-22.9689026,-43.1850073,-22.9657331,-43.1835126,1,0.384
-22.9660917,-43.1880338,-22.9657331,-43.1835126,1,0.465
-22.9729740,-43.1858259,-22.9657331,-43.1835126,1,0.839
-22.9729968,-43.1858541,-22.9657331,-43.1835126,1,0.843
-22.9668457,-43.1928756,-22.9657331,-43.1835126,1,0.967
-22.9679911,-43.1854806,-22.9657331,-43.1835126,1,0.322
-22.9642485,-43.1772519,-22.9657331,-43.1835126,1,0.662
-22.9657015,-43.1791444,-22.9657331,-43.1835126,1,0.447
-22.9820342,-43.1922794,-22.9784463,-43.1918982,3,0.401
-22.9660917,-43.1880338,-22.9657331,-43.1835126,1,0.465
-22.9686713,-43.1873172,-22.9657331,-43.1835126,1,0.509
-22.9666130,-43.1826368,-22.9657331,-43.1835126,1,0.133
-22.9809892,-43.1940848,-22.9784463,-43.1918982,3,0.361
-22.9811614,-43.1925501,-22.9784463,-43.1918982,3,0.309
-22.9811963,-43.1925377,-22.9784463,-43.1918982,3,0.313
-22.9869237,-43.1907958,-22.9784463,-43.1918982,3,0.950
-22.9668457,-43.1928756,-22.9657331,-43.1835126,1,0.967
-22.9786161,-43.1914770,-22.9784463,-43.1918982,3,0.047
-22.9661989,-43.1843264,-22.9657331,-43.1835126,1,0.098
-22.9477513,-43.1928756,-22.9505288,-43.1926064,0,0.310
-22.9483486,-43.1939781,-22.9505288,-43.1926064,0,0.280
-22.9472509,-43.1949514,-22.9505288,-43.1926064,0,0.437
-22.9477513,-43.1928756,-22.9505288,-43.1926064,0,0.310
-22.9634394,-43.1803211,-22.9657331,-43.1835126,1,0.415
-22.9534631,-43.1759270,-22.9489104,-43.1807636,2,0.708
-22.9477513,-43.1928756,-22.9505288,-43.1926064,0,0.310
-22.9534631,-43.1759270,-22.9489104,-43.1807636,2,0.708
-22.9530130,-43.1763158,-22.9489104,-43.1807636,2,0.645
-22.9485840,-43.1938412,-22.9505288,-43.1926064,0,0.251
-22.9787638,-43.1946912,-22.9784463,-43.1918982,3,0.288
-22.9655099,-43.1880466,-22.9657331,-43.1835126,1,0.465
-22.9741433,-43.1943977,-22.9784463,-43.1918982,3,0.543
-22.9766965,-43.1912925,-22.9784463,-43.1918982,3,0.204
-22.9787638,-43.1946912,-22.9784463,-43.1918982,3,0.288
-22.9469276,-43.1816581,-22.9489104,-43.1807636,2,0.239
-22.9538848,-43.1787054,-22.9489104,-43.1807636,2,0.592
-22.9661329,-43.1862187,-22.9657331,-43.1835126,1,0.281
-22.9484630,-43.1938226,-22.9505288,-43.1926064,0,0.261
-22.9736306,-43.1937834,-22.9784463,-43.1918982,3,0.569
-22.9588861,-43.1769971,-22.9657331,-43.1835126,1,1.013
-22.9477513,-43.1928756,-22.9505288,-43.1926064,0,0.310
-22.9766015,-43.1913996,-22.9784463,-43.1918982,3,0.211
-22.9477273,-43.1944267,-22.9505288,-43.1926064,0,0.363
-22.9517643,-43.1743733,-22.9489104,-43.1807636,2,0.727
-22.9722818,-43.1927048,-22.9784463,-43.1918982,3,0.691
-22.9494335,-43.1795426,-22.9489104,-43.1807636,2,0.138
-22.9713756,-43.1880759,-22.9657331,-43.1835126,1,0.782
-22.9483076,-43.1935501,-22.9505288,-43.1926064,0,0.265
-22.9503172,-43.1928547,-22.9505288,-43.1926064,0,0.035
-22.9619796,-43.1904587,-22.9657331,-43.1835126,1,0.825
-22.9477513,-43.1928756,-22.9505288,-43.1926064,0,0.310
-22.9407036,-43.1762808,-22.9489104,-43.1807636,2,1.022
-22.9477513,-43.1928756,-22.9505288,-43.1926064,0,0.310
-22.9477513,-43.1928756,-22.9505288,-43.1926064,0,0.310
-22.9413911,-43.1823861,-22.9489104,-43.1807636,2,0.853
-22.9454015,-43.1837891,-22.9489104,-43.1807636,2,0.498
-22.9474581,-43.1940794,-22.9505288,-43.1926064,0,0.373
-22.9440540,-43.1822210,-22.9489104,-43.1807636,2,0.560
-22.9535516,-43.1795691,-22.9489104,-43.1807636,2,0.531
-22.9534631,-43.1759270,-22.9489104,-43.1807636,2,0.708
-22.9489438,-43.1823363,-22.9489104,-43.1807636,2,0.161
-22.9474334,-43.1934236,-22.9505288,-43.1926064,0,0.354
-22.9477513,-43.1928756,-22.9505288,-43.1926064,0,0.310
-22.9619796,-43.1904587,-22.9657331,-43.1835126,1,0.825
-22.9477513,-43.1928756,-22.9505288,-43.1926064,0,0.310
-22.9613186,-43.1788624,-22.9657331,-43.1835126,1,0.684
-22.9530416,-43.1763296,-22.9489104,-43.1807636,2,0.646
-22.9407113,-43.1783486,-22.9489104,-43.1807636,2,0.945
-22.9407113,-43.1783486,-22.9489104,-43.1807636,2,0.945
-22.9426827,-43.1767365,-22.9489104,-43.1807636,2,0.806
-22.9407113,-43.1783486,-22.9489104,-43.1807636,2,0.945
-22.9407113,-43.1783486,-22.9489104,-43.1807636,2,0.945
-22.9505026,-43.1928846,-22.9505288,-43.1926064,0,0.029
-22.9407113,-43.1783486,-22.9489104,-43.1807636,2,0.945
-22.9477513,-43.1928756,-22.9505288,-43.1926064,0,0.310
-22.9436733,-43.1812205,-22.9489104,-43.1807636,2,0.584
-22.9471986,-43.1894146,-22.9505288,-43.1926064,0,0.494
-22.9486844,-43.1939346,-22.9505288,-43.1926064,0,0.246
-22.9479827,-43.1929957,-22.9505288,-43.1926064,0,0.286
-22.9407113,-43.1783486,-22.9489104,-43.1807636,2,0.945
-22.9407113,-43.1783486,-22.9489104,-43.1807636,2,0.945
-22.9484381,-43.1934552,-22.9505288,-43.1926064,0,0.248
-22.9439748,-43.1819777,-22.9489104,-43.1807636,2,0.563
-22.9469131,-43.1857716,-22.9489104,-43.1807636,2,0.559
-22.9477513,-43.1928756,-22.9505288,-43.1926064,0,0.310
-22.9407113,-43.1783486,-22.9489104,-43.1807636,2,0.945
-22.9534746,-43.1925763,-22.9505288,-43.1926064,0,0.328
-22.9527293,-43.1945297,-22.9505288,-43.1926064,0,0.314
-22.9407113,-43.1783486,-22.9489104,-43.1807636,2,0.945
-22.9570090,-43.1830499,-22.9489104,-43.1807636,2,0.931
-22.9556167,-43.1840454,-22.9489104,-43.1807636,2,0.818
-22.9477513,-43.1928756,-22.9505288,-43.1926064,0,0.310
-22.9407036,-43.1762808,-22.9489104,-43.1807636,2,1.022
-22.9472243,-43.1881107,-22.9505288,-43.1926064,0,0.589
-22.9547872,-43.1940411,-22.9505288,-43.1926064,0,0.496
-22.9474854,-43.1950398,-22.9505288,-43.1926064,0,0.420
-22.9469666,-43.1896614,-22.9505288,-43.1926064,0,0.498
-22.9477513,-43.1928756,-22.9505288,-43.1926064,0,0.310
-22.9543308,-43.1955963,-22.9505288,-43.1926064,0,0.522
-22.9499806,-43.1930384,-22.9505288,-43.1926064,0,0.075
-22.9517648,-43.1769231,-22.9489104,-43.1807636,2,0.505
-22.9522193,-43.1818986,-22.9489104,-43.1807636,2,0.386
-22.9560113,-43.1849921,-22.9489104,-43.1807636,2,0.901
-22.9595919,-43.1921123,-22.9505288,-43.1926064,0,1.009
-22.9471641,-43.1939788,-22.9505288,-43.1926064,0,0.400
-22.9443217,-43.1865825,-22.9489104,-43.1807636,2,0.785
-22.9468389,-43.1945749,-22.9505288,-43.1926064,0,0.457
-22.9398553,-43.1794130,-22.9489104,-43.1807636,2,1.017
-22.9485626,-43.1939387,-22.9505288,-43.1926064,0,0.258
-22.9481313,-43.1944607,-22.9505288,-43.1926064,0,0.327
-22.9407113,-43.1783486,-22.9489104,-43.1807636,2,0.945
-22.9544478,-43.1958406,-22.9505288,-43.1926064,0,0.547
-22.9485691,-43.1945529,-22.9505288,-43.1926064,0,0.295
-22.9512535,-43.1873484,-22.9505288,-43.1926064,0,0.545
-22.9604604,-43.1906697,-22.9657331,-43.1835126,1,0.939
-22.9502716,-43.1920241,-22.9505288,-43.1926064,0,0.066
-22.9534631,-43.1759270,-22.9489104,-43.1807636,2,0.708
-22.9483226,-43.1944442,-22.9505288,-43.1926064,0,0.309
-22.9474922,-43.1934158,-22.9505288,-43.1926064,0,0.348
-22.9545568,-43.1825590,-22.9489104,-43.1807636,2,0.654
-22.9468548,-43.1941207,-22.9505288,-43.1926064,0,0.437
-22.9535588,-43.1815471,-22.9489104,-43.1807636,2,0.523
-22.9475723,-43.1945213,-22.9505288,-43.1926064,0,0.383
-22.9471654,-43.1951107,-22.9505288,-43.1926064,0,0.454
-22.9494375,-43.1865960,-22.9489104,-43.1807636,2,0.600
-22.9482868,-43.1938301,-22.9505288,-43.1926064,0,0.279
-22.9477513,-43.1928756,-22.9505288,-43.1926064,0,0.310
-22.9471790,-43.1942444,-22.9505288,-43.1926064,0,0.409
-22.9485797,-43.1941119,-22.9505288,-43.1926064,0,0.266
-22.9529417,-43.1886110,-22.9505288,-43.1926064,0,0.489
-22.9475717,-43.1937173,-22.9505288,-43.1926064,0,0.348
-22.9522756,-43.1824792,-22.9489104,-43.1807636,2,0.413
-22.9478400,-43.1898369,-22.9505288,-43.1926064,0,0.412
-22.9479672,-43.1934729,-22.9505288,-43.1926064,0,0.298
-22.9471444,-43.1943731,-22.9505288,-43.1926064,0,0.418
-22.9470197,-43.1942175,-22.9505288,-43.1926064,0,0.424
-22.9466969,-43.1945228,-22.9505288,-43.1926064,0,0.469
-22.9473716,-43.1944241,-22.9505288,-43.1926064,0,0.397
-22.9588106,-43.1924914,-22.9505288,-43.1926064,0,0.921
-22.9534631,-43.1759270,-22.9489104,-43.1807636,2,0.708
-22.9415451,-43.1814763,-22.9489104,-43.1807636,2,0.822
-22.9407365,-43.1826224,-22.9489104,-43.1807636,2,0.929
-22.9467883,-43.1939055,-22.9505288,-43.1926064,0,0.437
-22.9531380,-43.1943433,-22.9505288,-43.1926064,0,0.340
-22.9558314,-43.1803273,-22.9489104,-43.1807636,2,0.771
-22.9566669,-43.1929782,-22.9505288,-43.1926064,0,0.684
-22.9560109,-43.1853547,-22.9489104,-43.1807636,2,0.919
-22.9530406,-43.1771388,-22.9489104,-43.1807636,2,0.591
-22.9534631,-43.1759270,-22.9489104,-43.1807636,2,0.708
-22.9566508,-43.1872190,-22.9505288,-43.1926064,0,0.876
-22.9419180,-43.1822395,-22.9489104,-43.1807636,2,0.792
-22.9534631,-43.1759270,-22.9489104,-43.1807636,2,0.708
-22.9554261,-43.1863315,-22.9505288,-43.1926064,0,0.842
-22.9495172,-43.1888273,-22.9505288,-43.1926064,0,0.403
-22.9557592,-43.1933571,-22.9505288,-43.1926064,0,0.587
-22.9578211,-43.1952063,-22.9505288,-43.1926064,0,0.854
-22.9557893,-43.1831914,-22.9489104,-43.1807636,2,0.805
-22.9488696,-43.1940338,-22.9505288,-43.1926064,0,0.235
-22.9560109,-43.1853547,-22.9489104,-43.1807636,2,0.919
-22.9514378,-43.1984893,-22.9505288,-43.1926064,0,0.611
-22.9573422,-43.1892424,-22.9505288,-43.1926064,0,0.832
-22.9554286,-43.1924703,-22.9505288,-43.1926064,0,0.545
-22.9610834,-43.1905699,-22.9657331,-43.1835126,1,0.889
-22.9506728,-43.1841790,-22.9489104,-43.1807636,2,0.401
-22.9534631,-43.1759270,-22.9489104,-43.1807636,2,0.708
-22.9473362,-43.1939237,-22.9505288,-43.1926064,0,0.380
-22.9418151,-43.1885069,-22.9505288,-43.1926064,0,1.056
-22.9479212,-43.1937562,-22.9505288,-43.1926064,0,0.313
-22.9488647,-43.1939761,-22.9505288,-43.1926064,0,0.232
-22.9530461,-43.1953903,-22.9505288,-43.1926064,0,0.400
-22.9481748,-43.1938876,-22.9505288,-43.1926064,0,0.293
-22.9552929,-43.1888967,-22.9505288,-43.1926064,0,0.652
-22.9406322,-43.1869807,-22.9489104,-43.1807636,2,1.120
-22.9534631,-43.1759270,-22.9489104,-43.1807636,2,0.708
-22.9471387,-43.1893099,-22.9505288,-43.1926064,0,0.506
-22.9556167,-43.1840454,-22.9489104,-43.1807636,2,0.818
-22.9418151,-43.1885069,-22.9505288,-43.1926064,0,1.056
-22.9409766,-43.1822980,-22.9489104,-43.1807636,2,0.896
-22.9482546,-43.1942906,-22.9505288,-43.1926064,0,0.306
-22.9461807,-43.1868692,-22.9489104,-43.1807636,2,0.695
-22.9489090,-43.1933207,-22.9505288,-43.1926064,0,0.194
-22.9480780,-43.1940512,-22.9505288,-43.1926064,0,0.310
-22.9527722,-43.1944868,-22.9505288,-43.1926064,0,0.315
-22.9460160,-43.1839194,-22.9489104,-43.1807636,2,0.456
-22.9477513,-43.1928756,-22.9505288,-43.1926064,0,0.310
-22.9487117,-43.1930266,-22.9505288,-43.1926064,0,0.207
-22.9563687,-43.1760003,-22.9489104,-43.1807636,2,0.962
-22.9435931,-43.1852571,-22.9489104,-43.1807636,2,0.749
-22.9479972,-43.1940709,-22.9505288,-43.1926064,0,0.319
-22.9460328,-43.1842019,-22.9489104,-43.1807636,2,0.476
-22.9563687,-43.1760003,-22.9489104,-43.1807636,2,0.962
-22.9465198,-43.1947521,-22.9505288,-43.1926064,0,0.497
-22.9543430,-43.1867689,-22.9505288,-43.1926064,0,0.733
-22.9521014,-43.1959016,-22.9505288,-43.1926064,0,0.380
-22.9579770,-43.1914505,-22.9505288,-43.1926064,0,0.837
-22.9478393,-43.1842394,-22.9489104,-43.1807636,2,0.375
-22.9486427,-43.1935846,-22.9505288,-43.1926064,0,0.232
-22.9577899,-43.1928645,-22.9505288,-43.1926064,0,0.808
-22.9521924,-43.1866519,-22.9505288,-43.1926064,0,0.637
-22.9477513,-43.1928756,-22.9505288,-43.1926064,0,0.310
-22.9562868,-43.1921160,-22.9505288,-43.1926064,0,0.642
-22.9514590,-43.1825358,-22.9489104,-43.1807636,2,0.337
-22.9524213,-43.1936538,-22.9505288,-43.1926064,0,0.236
-22.9552405,-43.1831332,-22.9489104,-43.1807636,2,0.745
-22.9585181,-43.1949606,-22.9505288,-43.1926064,0,0.921
-22.9524213,-43.1936538,-22.9505288,-43.1926064,0,0.236
-22.9483455,-43.1932203,-22.9505288,-43.1926064,0,0.251
-22.9557278,-43.1904547,-22.9505288,-43.1926064,0,0.619
-22.9493961,-43.1856393,-22.9489104,-43.1807636,2,0.502
-22.9497180,-43.1898046,-22.9505288,-43.1926064,0,0.301
-22.9589983,-43.1911359,-22.9505288,-43.1926064,0,0.954
-22.9557278,-43.1904547,-22.9505288,-43.1926064,0,0.619
-22.9509051,-43.1937294,-22.9505288,-43.1926064,0,0.122
-22.9477513,-43.1928756,-22.9505288,-43.1926064,0,0.310
-22.9472243,-43.1881107,-22.9505288,-43.1926064,0,0.589
-22.9499643,-43.1905420,-22.9505288,-43.1926064,0,0.221
-22.9550475,-43.1855991,-22.9489104,-43.1807636,2,0.843
-22.9479471,-43.1939319,-22.9505288,-43.1926064,0,0.318
-22.9505528,-43.1927542,-22.9505288,-43.1926064,0,0.015
-22.9495841,-43.1868382,-22.9505288,-43.1926064,0,0.600
-22.9477513,-43.1928756,-22.9505288,-43.1926064,0,0.310
-22.9514378,-43.1984893,-22.9505288,-43.1926064,0,0.611
-22.9577044,-43.1946193,-22.9505288,-43.1926064,0,0.824
-22.9608029,-43.1913983,-22.9657331,-43.1835126,1,0.976
-22.9497388,-43.1871448,-22.9505288,-43.1926064,0,0.566
-22.9536336,-43.1906843,-22.9505288,-43.1926064,0,0.398
-22.9528540,-43.1884090,-22.9505288,-43.1926064,0,0.502
-22.9469131,-43.1857716,-22.9489104,-43.1807636,2,0.559
-22.9503067,-43.1928137,-22.9505288,-43.1926064,0,0.033
-22.9539705,-43.1914239,-22.9505288,-43.1926064,0,0.402
-22.9528508,-43.1883266,-22.9505288,-43.1926064,0,0.509
-22.9533303,-43.1898181,-22.9505288,-43.1926064,0,0.423
-22.9534016,-43.1824267,-22.9489104,-43.1807636,2,0.528
-22.9576558,-43.1945817,-22.9505288,-43.1926064,0,0.818
-22.9507292,-43.1817215,-22.9489104,-43.1807636,2,0.225
-22.9460160,-43.1839194,-22.9489104,-43.1807636,2,0.456
-22.9464364,-43.1942244,-22.9505288,-43.1926064,0,0.484
-22.9538479,-43.1907763,-22.9505288,-43.1926064,0,0.414
-22.9499643,-43.1905420,-22.9505288,-43.1926064,0,0.221
-22.9568196,-43.1950927,-22.9505288,-43.1926064,0,0.745
-22.9568201,-43.1949794,-22.9505288,-43.1926064,0,0.741
-22.9547147,-43.1904548,-22.9505288,-43.1926064,0,0.515
-22.9474061,-43.1889920,-22.9505288,-43.1926064,0,0.508
-22.9551883,-43.1950792,-22.9505288,-43.1926064,0,0.577
-22.9549140,-43.1941319,-22.9505288,-43.1926064,0,0.512
-22.9471138,-43.1947542,-22.9505288,-43.1926064,0,0.439
-22.9530406,-43.1771388,-22.9489104,-43.1807636,2,0.591
-22.9557278,-43.1904547,-22.9505288,-43.1926064,0,0.619
-22.9557278,-43.1904547,-22.9505288,-43.1926064,0,0.619
-22.9557278,-43.1904547,-22.9505288,-43.1926064,0,0.619
-22.9568147,-43.1826014,-22.9489104,-43.1807636,2,0.899
-22.9557278,-43.1904547,-22.9505288,-43.1926064,0,0.619
-22.9541755,-43.1827860,-22.9489104,-43.1807636,2,0.621
-22.9566339,-43.1821845,-22.9489104,-43.1807636,2,0.871
-22.9466812,-43.1943322,-22.9505288,-43.1926064,0,0.463
