cep,Latitude,Longitude
22040021,-22.9683015,-43.1839514
22040041,-22.9689026,-43.1850073
22040010,-22.9672016,-43.1835627
22021010,-22.9642485,-43.1772519
22041070,-22.9667595,-43.1907029
22080002,-22.9869237,-43.1907958
22080030,-22.9862199,-43.1922938
22060020,-22.9766015,-43.1913996
22080001,-22.9820342,-43.1922794
22071090,-22.9835329,-43.1950209
22071000,-22.9777221,-43.1915861
22081025,-22.9844176,-43.1926201
22071030,-22.9774568,-43.1963274
22061000,-22.9737533,-43.1926185
22040020,-22.9677257,-43.1843804
22030001,-22.9670297,-43.1860265
22031901,38.8966075,-77.1877999
22031090,-22.9674846,-43.1878901
22041902,38.8419396,-77.1433751
22041900,38.9009108,-77.2137628
22031900,-22.9660917,-43.1880338
22041060,-22.966324,-43.1901327
22071100,-22.9811614,-43.1925501
22071060,-22.9809892,-43.1940848
22041012,-22.972974,-43.1858259
22031030,-22.9686713,-43.1873172
22031071,-22.9700047,-43.1839018
22041011,-22.9729968,-43.1858541
22021020,-22.9642485,-43.1772519
22081010,-22.9820342,-43.1922794
22031072,-22.9679911,-43.1854806
22071101,-22.9811963,-43.1925377
22021040,-22.966613,-43.1826368
22020040,-22.9657015,-43.1791444
22260191,-22.948463,-43.1938226
22260188,-22.9483486,-43.1939781
22290903,-22.9534631,-43.175927
22061070,-22.9736306,-43.1937834
22260192,-22.948584,-43.1938412
22260135,-22.9477273,-43.1944267
22260157,-22.9472509,-43.1949514
22050020,-22.9713756,-43.1880759
22260124,-22.9483076,-43.1935501
22260168,38.861744,-77.0832466
22260180,-22.9477513,-43.1928756
22260183,-22.9477513,-43.1928756
22250150,-22.9469276,-43.1816581
22260137,-22.9477513,-43.1928756
22030050,-22.9661329,-43.1862187
22260189,-22.9477513,-43.1928756
22290070,-22.9538848,-43.1787054
22290210,-22.9494335,-43.1795426
22071080,-22.9787638,-43.1946912
22061050,-22.9741433,-43.1943977
22290970,-22.9534631,-43.175927
22260152,-22.9477513,-43.1928756
22290140,-22.953013,-43.1763158
22071070,-22.9787638,-43.1946912
22290090,-22.9588861,-43.1769971
22031120,-22.9655099,-43.1880466
22290240,-22.9517643,-43.1743733
22071010,-22.9786161,-43.191477
22030002,-22.9661989,-43.1843264
22011100,-22.9634394,-43.1803211
22061080,-22.9722818,-43.1927048
22061011,-22.9766965,-43.1912925
22061010,-22.9766015,-43.1913996
22281132,-22.9619796,-43.1904587
22231030,-22.9413911,-43.1823861
22260148,-22.9477513,-43.1928756
22290050,-22.9535516,-43.1795691
22260149,-22.9474334,-43.1934236
22290130,-22.9613186,-43.1788624
22260184,-22.9477513,-43.1928756
22231050,-22.944054,-43.182221
22250170,-22.9489438,-43.1823363
22260134,-22.9477513,-43.1928756
22260181,-22.9477513,-43.1928756
22260139,-22.9474581,-43.1940794
22290150,-22.9534631,-43.175927
22250000,-22.9407036,-43.1762808
22250200,-22.9454015,-43.1837891
22281131,-22.9619796,-43.1904587
22260130,-22.9503172,-43.1928547
22260166,-22.9468389,-43.1945749
22290060,-22.9530416,-43.1763296
22270080,-22.9534746,-43.1925763
22250900,38.8657296,-77.0769338
22250010,-22.9426827,-43.1767365
22250970,0,0
22260155,-22.9477513,-43.1928756
22260070,-22.9471986,-43.1894146
22250904,-22.9407113,-43.1783486
22281110,-22.9595919,-43.1921123
22260206,-22.9477513,-43.1928756
22260050,-22.9469666,-43.1896614
22250907,-22.9407113,-43.1783486
22250908,38.8820612,-77.1051409
22250909,-22.9407113,-43.1783486
22250901,-22.9407113,-43.1783486
22260154,-22.9471641,-43.1939788
22260120,-22.9499806,-43.1930384
22250911,38.886872,-77.0937507
22290230,38.8600537,-77.082824
22250905,38.8543911,-77.1160133
22280070,-22.9556167,-43.1840454
22251030,-22.9443217,-43.1865825
22250040,-22.9436733,-43.1812205
22250906,-22.9407113,-43.1783486
22251050,-22.9469131,-43.1857716
22280110,-22.957009,-43.1830499
22250145,-22.9439748,-43.1819777
22280080,-22.9560113,-43.1849921
22250910,-22.9407113,-43.1783486
22231000,-22.9407036,-43.1762808
22281010,-22.9527293,-43.1945297
22260169,-22.9474854,-43.1950398
22260199,-22.9485691,-43.1945529
22260195,-22.9486844,-43.1939346
22260187,-22.9484381,-43.1934552
22260193,-22.9485626,-43.1939387
22260138,38.893125,-77.0773784
22260105,-22.9477513,-43.1928756
22260122,-22.9479827,-43.1929957
22260020,-22.9472243,-43.1881107
22260167,-22.9477513,-43.1928756
22260205,-22.9481313,-43.1944607
22230090,-22.9398553,-43.179413
22260100,-22.9505026,-43.1928846
22250160,-22.9522193,-43.1818986
22290190,-22.9517648,-43.1769231
22271020,-22.9543308,-43.1955963
22270020,-22.9547872,-43.1940411
22271000,-22.9544478,-43.1958406
22290904,38.8543911,-77.1160133
22260176,-22.9467883,-43.1939055
22260172,-22.9468548,-43.1941207
22260201,-22.9485797,-43.1941119
22290973,-22.9534631,-43.175927
22260125,-22.9479672,-43.1934729
22260179,-22.9477513,-43.1928756
22260145,-22.9475717,-43.1937173
22260186,-22.9482868,-43.1938301
22260142,-22.9473716,-43.1944241
22260182,-22.9466969,-43.1945228
22260196,-22.9483226,-43.1944442
22260131,38.893125,-77.0773784
22231060,-22.9407365,-43.1826224
22260162,-22.9471444,-43.1943731
22260136,-22.9475723,-43.1945213
22260156,-22.9470197,-43.1942175
22260146,-22.9474922,-43.1934158
22260164,-22.9471654,-43.1951107
22260153,-22.947179,-43.1942444
22290030,-22.9522756,-43.1824792
22270070,-22.9502716,-43.1920241
22260010,-22.9494375,-43.186596
22280020,-22.9529417,-43.188611
22280060,-22.9554261,-43.1863315
22281100,-22.9588106,-43.1924914
22280030,-22.9512535,-43.1873484
22290031,-22.9535588,-43.1815471
22231020,-22.9415451,-43.1814763
22281150,-22.9604604,-43.1906697
22260090,-22.94784,-43.1898369
22260197,-22.9488696,-43.1940338
22260190,-22.9514378,-43.1984893
22281060,-22.9566669,-43.1929782
22290905,-22.9534631,-43.175927
22290080,-22.9558314,-43.1803273
22281040,-22.9557592,-43.1933571
22231040,-22.941918,-43.1822395
22290000,-22.9545568,-43.182559
22280002,-22.9566508,-43.187219
22290901,38.8813439,-77.1143134
22280970,-22.9557893,-43.1831914
22270060,-22.9495172,-43.1888273
22281050,-22.9554286,-43.1924703
22280003,-22.9573422,-43.1892424
22280005,-22.9560109,-43.1853547
22281090,-22.9578211,-43.1952063
22290040,-22.9530406,-43.1771388
22280004,-22.9560109,-43.1853547
22281020,-22.953138,-43.1943433
22251010,-22.9418151,-43.1885069
22260177,-22.9465198,-43.1947521
22260127,-22.9477513,-43.1928756
22290170,38.861744,-77.0832466
22260129,-22.9481748,-43.1938876
22251000,-22.9406322,-43.1869807
22281140,-22.9610834,-43.1905699
22260126,-22.948078,-43.1940512
22260194,-22.9488647,-43.1939761
22281900,38.8657296,-77.0769338
22260147,-22.9477513,-43.1928756
22251060,-22.9461807,-43.1868692
22260132,-22.9479972,-43.1940709
22250210,-22.946016,-43.1839194
22281000,-22.9527722,-43.1944868
22260128,-22.9479212,-43.1937562
22290175,-22.9563687,-43.1760003
22251020,-22.9418151,-43.1885069
22260143,-22.9473362,-43.1939237
22260040,-22.9471387,-43.1893099
22281034,-22.9524213,-43.1936538
22260140,-22.9487117,-43.1930266
22280100,-22.9552405,-43.1831332
22290972,-22.9534631,-43.175927
22260000,-22.9493961,-43.1856393
22251040,-22.9435931,-43.1852571
22290906,38.8539111,-77.1050426
22290160,-22.9563687,-43.1760003
22281032,-22.9589983,-43.1911359
22260001,-22.949718,-43.1898046
22271010,-22.9530461,-43.1953903
22260005,-22.9506728,-43.184179
22231010,-22.9409766,-43.182298
22260150,-22.948909,-43.1933207
22251090,-22.9460328,-43.1842019
22271100,-22.9552929,-43.1888967
22281033,-22.9524213,-43.1936538
22260185,-22.9486427,-43.1935846
22281070,-22.9577899,-43.1928645
22260203,-22.9482546,-43.1942906
22270971,-22.9557278,-43.1904547
22251080,-22.9478393,-43.1842394
22260123,-22.9483455,-43.1932203
22281035,-22.957977,-43.1914505
22280010,-22.954343,-43.1867689
22281080,-22.9585181,-43.1949606
22270050,-22.9521924,-43.1866519
22281036,-22.9562868,-43.192116
22280090,-22.9556167,-43.1840454
22280040,-22.951459,-43.1825358
22260900,38.8657296,-77.0769338
22260174,-22.9466812,-43.1943322
22281120,-22.9608029,-43.1913983
22260133,-22.9479471,-43.1939319
22260110,-22.9509051,-43.1937294
22260970,-22.9477513,-43.1928756
22260030,-22.9472243,-43.1881107
22280120,-22.9568147,-43.1826014
22260178,-22.9464364,-43.1942244
22271092,-22.9576558,-43.1945817
22260170,-22.9514378,-43.1984893
22260004,-22.9499643,-43.190542
22260080,-22.9474061,-43.188992
22260003,-22.9497388,-43.1871448
22271022,-22.9568196,-43.1950927
22290020,-22.9541755,-43.182786
22270000,-22.9507292,-43.1817215
22260009,-22.9505528,-43.1927542
22270014,-22.9538479,-43.1907763
22270003,-22.9539705,-43.1914239
22260007,-22.9499643,-43.190542
22260002,-22.9495841,-43.1868382
22270030,-22.9547147,-43.1904548
22251070,-22.9469131,-43.1857716
22260006,-22.9503067,-43.1928137
22270010,-22.9536336,-43.1906843
22280050,-22.9550475,-43.1855991
22271091,-22.9577044,-43.1946193
22290010,-22.9534016,-43.1824267
22271021,-22.9568201,-43.1949794
22250180,-22.946016,-43.1839194
22270001,-22.9528508,-43.1883266
22270012,-22.952854,-43.188409
22270016,-22.954914,-43.1941319
22271110,-22.9533303,-43.1898181
22250140,38.8403819,-77.0890701
22270040,-22.9530406,-43.1771388
22280130,-22.9566339,-43.1821845
22260158,-22.9471138,-43.1947542
22250190,38.8583124,-77.0512518
22270902,38.8847695,-77.1045146
22270903,38.8909844,-77.0682558
22270901,-22.9557278,-43.1904547
22270900,-22.9557278,-43.1904547
22270970,-22.9557278,-43.1904547
22270005,-22.9551883,-43.1950792
